8,50,2,1,0,4,39,6,1,9,35,5,51,20,15,0,0,0,32,40,51,1,0,0,0,0,19,89,30,0,0,0,0,0,6,104,0,0,0,0,0,22,143,16,17,0,0,0,0,1,143,143,96,6,0,0,0,0,78,143,36,8,0,0,0,0,7,107,1,1,0,0,0,7,47,4,143,47,0,0,0,4,81,53,143,89,0,0,0,0,6,42,67,21,2,0,0,0,0,8,0,2,0,0,0,0,0,0,105,95,3,0,0,0,0,1,143,66,0,0,0,0,0,7,41,10,3,6,2,0,0,2
8,50,2,0,0,0,0,0,0,0,0,2,72,0,0,0,0,0,0,102,101,4,1,6,3,0,1,79,7,32,39,46,16,0,0,0,4,10,35,10,0,0,0,6,133,55,48,0,0,0,0,78,133,52,6,0,0,0,0,65,43,83,29,1,0,0,0,0,0,68,133,19,0,0,0,0,18,133,133,0,0,0,0,1,122,133,82,1,0,0,0,3,92,70,1,0,0,0,0,0,0,110,84,1,0,0,0,0,0,54,99,1,1,0,0,0,10,45,41,6,0,0,0,0,68,76,2,0,0,0,0,0
11,84,2,1,0,0,0,1,5,73,118,7,0,0,0,0,0,5,118,75,6,0,0,0,0,0,46,118,16,0,0,7,5,1,4,118,2,11,1,0,35,93,73,18,19,21,17,0,0,1,106,117,118,34,3,0,0,0,29,118,80,38,0,0,0,1,14,78,1,76,65,3,21,8,0,0,12,100,118,12,6,12,2,5,118,52,44,6,3,21,50,37,23,14,2,0,0,29,118,29,0,17,25,0,1,5,0,0,1,18,52,10,12,106,24,0,13,29,38,7,4,48,38,2,1,21,76,6,0,10,43,1
13,234,2,1,22,2,0,0,0,3,26,26,183,118,2,1,0,1,4,5,69,62,6,15,12,0,0,1,9,7,0,0,0,0,0,4,89,8,0,0,9,7,9,12,183,109,5,9,6,0,0,10,77,39,9,58,93,3,0,4,7,4,0,2,8,0,1,15,115,16,0,0,5,7,0,3,183,16,0,1,6,6,4,98,80,3,0,7,115,48,9,43,9,5,0,0,12,3,0,6,47,19,0,0,0,0,0,0,183,48,0,0,0,2,7,37,47,1,0,0,7,30,27,34,18,0,0,0,0,2,1,7
17,24,2,0,114,8,6,5,0,2,8,125,28,0,0,0,15,42,31,83,49,13,0,1,8,7,2,6,125,62,0,0,2,2,0,1,24,3,11,50,28,0,7,75,125,7,0,2,2,2,13,116,124,29,0,0,0,0,0,7,125,62,0,0,4,6,0,1,27,18,4,33,30,1,7,87,125,63,4,7,3,0,0,16,125,57,0,0,0,0,0,10,125,58,0,0,9,8,0,0,72,23,14,35,1,0,0,45,109,66,8,0,0,0,0,7,125,56,5,0,0,0,0,2,90,28,0,0,13,10,0,0
20,85,2,0,34,1,0,0,0,0,32,130,86,0,0,0,0,0,2,122,130,6,0,3,5,1,0,32,10,1,1,18,38,9,2,1,88,42,28,26,0,0,0,74,130,58,7,0,0,0,0,92,130,7,0,0,11,5,1,42,17,0,0,3,43,20,6,5,36,109,50,48,4,3,17,29,72,130,51,0,0,0,6,47,130,59,11,1,10,4,4,23,17,4,0,4,36,9,2,5,8,6,16,39,3,2,39,65,15,10,13,4,0,0,88,130,45,12,2,0,1,2,85,130,19,7,0,0,8,11,19,36
26,150,2,0,42,30,10,0,0,0,0,0,150,25,0,0,5,1,0,5,66,11,2,8,150,57,0,3,1,23,26,32,68,30,9,0,38,8,5,2,4,3,3,5,150,14,0,0,12,14,1,11,71,11,2,5,150,108,2,7,20,43,11,31,52,9,4,3,23,27,59,18,2,1,0,1,150,67,11,4,31,27,2,13,32,4,6,15,133,123,12,22,11,10,10,2,7,15,48,23,5,56,53,2,0,0,0,0,63,123,19,17,40,15,0,0,11,18,73,65,79,20,4,7,3,18,84,32,5,0,5,3
30,180,2,0,7,0,3,28,61,3,0,7,82,1,0,0,3,0,0,45,138,12,0,0,0,0,0,105,146,8,4,0,0,0,11,146,9,14,2,19,127,28,0,0,86,41,24,1,4,0,0,16,146,14,5,0,0,0,0,34,67,4,0,0,1,2,21,146,41,22,2,31,47,31,0,3,101,72,89,21,0,0,0,12,92,31,55,23,7,9,1,8,24,2,0,0,23,37,23,51,24,3,7,103,15,0,0,4,146,13,16,18,6,0,0,50,23,5,21,29,65,33,6,12,38,7,0,3,25,23,8,5
37,124,2,0,5,27,45,1,3,64,125,4,3,20,25,2,1,81,125,2,5,25,37,7,0,62,125,1,14,6,23,22,2,30,125,30,1,5,106,96,29,50,67,2,38,10,24,44,46,29,43,5,125,59,34,17,28,6,16,10,35,31,30,49,79,8,2,2,2,0,32,55,64,125,33,6,37,14,7,17,53,51,24,4,125,19,2,2,27,6,3,23,17,60,37,17,49,7,2,4,6,7,4,69,115,20,4,3,33,63,26,16,15,6,6,16,76,60,23,11,4,1,2,13,37,77,8,9,23,2,0,2
38,80,2,0,77,6,1,0,21,112,25,26,126,2,0,0,10,49,19,34,119,5,0,0,10,27,11,17,34,8,0,2,6,6,1,1,93,37,4,2,12,34,24,43,88,13,0,1,12,136,77,47,136,11,1,1,1,27,30,85,53,27,10,5,4,0,0,2,31,1,4,28,5,7,23,93,55,33,11,11,28,45,33,72,136,84,6,2,1,3,2,24,64,32,10,0,6,2,0,8,1,0,2,84,15,1,8,17,69,10,6,32,6,1,13,105,136,13,0,0,0,0,0,133,40,2,0,1,8,4,1,62
